predicted_maturity_class,detected_fruits,avg_confidence,avg_dark_spot_pct,avg_brown_lesion_pct,avg_black_patch_pct,avg_yellow_discoloration_pct,avg_edge_texture_score,avg_disease_risk_score,high_risk_fruits,moderate_symptom_fruits,mild_symptom_fruits,low_risk_fruits,high_risk_pct,moderate_or_high_risk_pct
Green,5142,0.7509625965590979,16.70224218953748,10.624523200143724,6.44731751895369,66.23821142974982,15.497070129393567,2.988331388564761,406,3148,1383,205,7.895760404511863,69.1170750680669
Half,1154,0.7483328562520406,58.6261997121112,35.400995843028056,25.703417225051766,25.255213198757737,9.13243432013405,3.9566724436741767,198,955,1,0,17.157712305025996,99.91334488734836
Red,8767,0.6818980903089474,18.567360070811773,12.321761717272356,6.763217458190366,6.4092586299088,15.42662925931379,3.4919584806661343,1204,6200,1169,194,13.733318124786129,84.45306262119311
Young,4890,0.7375947699346913,9.065971184488742,4.234414150945499,4.917589357318424,52.38780848275561,21.743160431654886,2.6155419222903884,312,2174,2312,92,6.38036809815951,50.83844580777096
