image_name,detected_fruits_for_disease,avg_composite_disease_index,max_composite_disease_index,median_composite_disease_index,low_disease_fruits,mild_disease_fruits,moderate_disease_fruits,high_disease_fruits,avg_dark_spot_pct,avg_brown_lesion_pct,avg_black_patch_pct,avg_yellow_discoloration_pct,avg_edge_texture_score,moderate_or_high_disease_fruits,moderate_or_high_disease_pct,high_disease_pct,disease_loss_factor,disease_loss_pct
-1-_jpg.rf.acf0acc89ce8b077384fb4d7773d0982.jpg,1,74.8066319645267,74.8066319645267,74.8066319645267,0,0,0,1,27.888953152111046,2.6951995373048003,25.25159051474841,50.37593984962406,20.78658183921342,1,100.0,100.0,0.4,40.0
-10-_jpg.rf.ebe6973d4b33853fd3d3f8596da0eb98.jpg,15,80.69238398640984,89.5,78.5897065897066,0,0,0,15,55.8636901169425,41.867407761115274,16.16224799508355,48.682496260224625,3.7799757295474623,15,100.0,100.0,0.4,40.0
-100-_jpg.rf.c05b3c16382da7f2d4f22f55c59da5bc.jpg,1,64.68607020867418,64.68607020867418,64.68607020867418,0,0,0,1,92.41797985016792,6.52716782915698,87.7163523637303,2.092482562645311,1.903039696891415,1,100.0,100.0,0.4,40.0
-102-_jpg.rf.5af9c7ede77bee134dcb5811dd2efe44.jpg,1,78.10094933407518,78.10094933407518,78.10094933407518,0,0,0,1,97.80922905727301,22.51277949716591,83.09281218485934,0.785895608025872,1.7700038251556143,1,100.0,100.0,0.4,40.0
-104-_jpg.rf.243a3ea518ad9685625bfe5d9dd0ea40.jpg,1,77.49882192460318,77.49882192460318,77.49882192460318,0,0,0,1,58.420138888888886,10.15625,50.43402777777778,10.5437748015873,8.249627976190476,1,100.0,100.0,0.4,40.0
-105-_jpg.rf.2b4165cfc1681a1f49d7048b1701582e.jpg,1,89.81454248366013,89.81454248366013,89.81454248366013,0,0,0,1,39.111519607843135,8.982843137254902,31.07230392156863,47.46936274509804,24.6078431372549,1,100.0,100.0,0.4,40.0
-106-_jpg.rf.30514981739a79c7552ed5cfb9aa0e99.jpg,1,64.80664749121125,64.80664749121125,64.80664749121125,0,0,0,1,57.492809204218595,0.6375838926174496,57.03739213806328,23.37967401725791,11.860019175455419,1,100.0,100.0,0.4,40.0
-107-_jpg.rf.fd256770be53dc07ee7999eea6d64116.jpg,3,94.81442817841905,97.98711755233495,97.43529411764706,0,0,0,3,76.32058596905075,44.00434749506265,36.14724177812001,38.96586159007783,14.536070446047622,3,100.0,100.0,0.4,40.0
-108-_jpg.rf.37a5f13a41d0d0afbcd535ab37121140.jpg,6,92.08571177508274,98.78632478632478,94.15951846399497,0,0,0,6,73.05764367395093,61.2328386233717,14.776878484444644,27.278896925287047,14.68123549503848,6,100.0,100.0,0.4,40.0
-11-_jpg.rf.7d6fb2c3e4266c9ca4ea44c966f85ced.jpg,2,86.71043167334912,89.8629797169123,86.71043167334912,0,0,0,2,69.2303506721825,51.96388082283182,18.671079160496973,33.38286045369575,5.082342373001999,2,100.0,100.0,0.4,40.0
-110-_jpg.rf.89a2330ed636d07611060e4b5e5d177f.jpg,3,94.36368057015835,98.01033591731266,96.02790207949461,0,0,0,3,71.21473403848965,56.6981259730488,15.01494700029483,43.39592864476966,15.036348829169318,3,100.0,100.0,0.4,40.0
-111-_jpg.rf.d04ad86193583ec073136c8f73219ab8.jpg,2,93.91078061106674,96.38421450451526,93.91078061106674,0,0,0,2,74.35490919219133,61.599096223782475,13.28647574572016,38.29908366339989,13.526951527666828,2,100.0,100.0,0.4,40.0
-112-_jpg.rf.f97928593a2a84c36bd7db84a30e2856.jpg,2,80.34096586293606,91.6134385751872,80.34096586293606,0,0,0,2,71.18848448878765,64.0861742930573,7.274266382451875,47.409180284301925,9.289303111351918,2,100.0,100.0,0.4,40.0
-113-_jpg.rf.3dc04d2775b75a2a0a573acf7954b974.jpg,1,93.82445141065831,93.82445141065831,93.82445141065831,0,0,0,1,79.01396409233399,63.35708178968367,16.34083784554004,10.00284981476204,22.05756625819322,1,100.0,100.0,0.4,40.0
-114-_jpg.rf.73f0c3695d6ca14324e3ac64a2eebe40.jpg,1,86.63437796771129,86.63437796771129,86.63437796771129,0,0,0,1,69.09263575930242,59.18155918155919,10.76146076146076,18.859535526202194,5.672105672105672,1,100.0,100.0,0.4,40.0
-115-_jpg.rf.0b077ea4bc32a6d662ace23c475e0661.jpg,1,90.50129198966408,90.50129198966408,90.50129198966408,0,0,0,1,76.24354005167959,52.07256675279931,25.710594315245476,23.57342807924203,8.753229974160206,1,100.0,100.0,0.4,40.0
-116-_jpg.rf.dab26adfaeead01ea608cb99dc08d923.jpg,4,87.24182290915672,89.9199372056515,88.18652708826124,0,0,0,4,76.18731641386596,49.642817994953546,31.97834349487667,28.079311586888295,3.8670072910670177,4,100.0,100.0,0.4,40.0
-117-_jpg.rf.fd4f775c4cb1e290575bb9174bf7967f.jpg,4,90.25954523620221,91.48148148148148,89.87709973166369,0,0,0,4,48.707590462282,20.036124155237527,34.95049192690504,32.562100141161835,8.148863090505532,4,100.0,100.0,0.4,40.0
-12-_jpg.rf.7bfaaed154de93acbffc553891c19dd5.jpg,1,87.05460378131185,87.05460378131185,87.05460378131185,0,0,0,1,42.549996587263664,25.721793734216092,17.080745341614907,75.36004368302504,0.1365094532796396,1,100.0,100.0,0.4,40.0
-123-_jpg.rf.968c8937ae7928531368323e824ecbab.jpg,3,78.24428853223043,80.76711061783203,79.54596888260255,0,0,0,3,78.93245363461351,70.04271253191594,13.266623931300693,6.143636006219933,4.3661139342093405,3,100.0,100.0,0.4,40.0
-124-_jpg.rf.c525ed44a9c49a26636e2ac0ac14bd9e.jpg,6,87.07881345971708,96.29629629629629,88.87658775742818,0,0,0,6,93.32584056743855,55.48234973908029,43.44038735579446,23.685983301578375,8.55978913755405,6,100.0,100.0,0.4,40.0
-126-_jpg.rf.5fb2ee93e1e15b5f5dc3240f7706d46c.jpg,1,82.56237301909793,82.56237301909793,82.56237301909793,0,0,0,1,39.057293783015034,11.629418935392117,28.565623730190982,56.52986590816741,2.9500203169443315,1,100.0,100.0,0.4,40.0
-127-_jpg.rf.040116c9cf4ce416eeb9dcc713ab2c99.jpg,5,86.46913847834489,89.96566837107378,87.87207775151037,0,0,0,5,82.24656471284908,53.85869434631278,36.45796298607846,38.031000966712,3.6728461958622254,5,100.0,100.0,0.4,40.0
-128-_jpg.rf.88b5c54eb69a69cadc2c0b873cde2677.jpg,3,90.32260339014614,91.35408195182984,91.35398795886834,0,0,0,3,75.03229603923688,46.11957421906811,32.785127770074645,34.73707078124817,9.767547436404334,3,100.0,100.0,0.4,40.0
-132-_jpg.rf.e0238165362f68448133e6d13875d864.jpg,7,72.288166013424,88.29077029840388,67.68300653594771,0,0,0,7,43.43599304833088,8.740996943756938,36.310812710209476,33.51299033047675,4.593025378695097,7,100.0,100.0,0.4,40.0
-135-_jpg.rf.2fd5fe1a2587ae330d609287fb8bd7ba.jpg,6,64.80250634291578,78.05944400534723,65.27223327377172,0,0,3,3,53.05898249751775,3.5207764714324554,50.733997620712785,23.779690798055313,2.860344419458683,6,100.0,50.0,0.4,40.0
-136-_jpg.rf.c6ef2d900dfae9e08ebd37280a8e917e.jpg,6,73.70146328080408,83.40327380952381,77.70441988337393,0,0,1,5,37.76482889794028,7.033156310630365,32.05810850141879,36.43466820141316,3.4548424204654204,6,100.0,83.33333333333334,0.4,40.0
